Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
31,f,-1,44.41111,0.03094384,1.547232,0.1607783,358.5517
31,f,-1,44.85556,0.02932484,1.584547,0.1414402,357.5582
31,f,-1,45.3,0.008660134,1.580735,0.1237679,340.1536
31,f,-1,45.74445,-0.001863355,1.581258,0.08816013,313.4348
31,f,-1,46.18889,0.06149659,1.579602,0.09895676,7.450334
31,f,-1,46.63334,0.07291645,1.574727,0.09231883,29.98738
31,f,-1,47.07778,0.02325578,1.571299,0.1100704,352.5009
31,f,-1,47.52222,0.005035724,1.563668,0.09837117,333.8161
31,f,-1,47.96667,0.02846314,1.557279,0.0629639,341.6178
31,f,-1,48.41111,0.04448518,1.577869,0.03573576,353.5703
31,f,-1,48.85556,0.0575669,1.585248,-0.02583702,353.8408
31,f,-1,49.3,0.02821904,1.564574,-0.1475529,3.574768
31,f,-1,49.74445,-0.003747767,1.559903,-0.2696689,353.1581
31,f,-1,50.18889,0.0158911,1.560974,-0.2293489,0.5228168
31,f,-1,50.63334,0.02823199,1.577487,-0.1395868,7.80836
31,f,-1,51.07778,0.006515279,1.573383,-0.1646347,356.2628
31,f,-1,51.52222,0.01347743,1.570772,-0.1793821,357.5278
31,f,-1,51.96667,0.01848838,1.566184,-0.1885912,358.871
31,f,-1,52.41111,0.01657629,1.564925,-0.1953756,355.7171
31,f,-1,52.85556,0.0206741,1.561769,-0.2068369,353.9379
31,f,-1,53.3,0.01482398,1.570213,-0.1955715,348.0975
31,f,-1,53.74445,0.02741431,1.569529,-0.1925217,356.9986
31,f,-1,54.18889,0.02149221,1.567007,-0.1873126,354.4077
31,f,-1,54.63334,0.02594997,1.56543,-0.1891529,355.5844
31,f,-1,55.07778,0.02638724,1.563395,-0.1901416,357.0019
31,f,-1,55.52222,0.03258737,1.559442,-0.1926121,359.0729
31,f,-1,55.96667,0.03652907,1.558451,-0.1830213,359.5516
31,f,-1,56.41111,0.06600308,1.554031,-0.2040357,20.56808
31,f,-1,56.85556,0.05928708,1.546869,-0.2024705,12.58314
31,f,-1,57.3,0.05648759,1.5495,-0.0925599,356.3511
31,f,-1,57.74445,0.05871853,1.538187,0.07788782,348.9037
31,f,-1,58.18889,-0.02453749,1.501202,0.3204331,346.6331
31,f,-1,58.63334,-0.1054284,1.512755,0.5986205,344.333
31,f,-1,59.07778,-0.1206426,1.562201,0.8304072,342.2214
31,f,-1,59.52222,-0.155049,1.575509,0.9305054,345.3674
31,f,-1,59.96667,-0.1439655,1.571321,0.9501022,14.29591
31,f,-1,60.41111,-0.0791522,1.569506,0.9420001,40.66405
31,f,-1,60.85556,0.04775726,1.560423,0.9448897,52.02159
31,f,-1,61.3,0.1437976,1.573088,0.9919988,59.83105
31,f,-1,61.74445,0.2021738,1.567471,1.027871,108.4244
31,f,-1,62.18889,0.210331,1.561276,1.046973,134.0832
31,f,-1,62.63334,0.2042054,1.586344,1.04846,154.5842
31,f,-1,63.07778,0.1487272,1.576668,1.071346,180.863
31,f,-1,63.52222,0.1498753,1.57662,1.084283,203.0677
31,f,-1,63.96667,0.1986529,1.58339,1.11764,218.7867
31,f,-1,64.41111,0.2620325,1.575236,1.14183,200.6826
31,f,-1,64.85556,0.2560044,1.572747,1.150608,206.1272
31,f,-1,65.3,0.2499868,1.571062,1.13863,204.1728
31,f,-1,65.74445,0.2549651,1.569886,1.135988,193.6828
31,f,-1,66.18889,0.2493075,1.566721,1.136924,196.131
31,f,-1,66.63333,0.2605962,1.53811,1.193274,215.1573
31,f,-1,67.07778,0.3071241,1.545161,1.217562,200.1863
31,f,-1,67.52222,0.2578693,1.562302,1.180623,222.2313
31,f,-1,67.96667,0.07122256,1.552403,1.099205,240.3347
31,f,-1,68.41111,-0.2264069,1.525063,0.9921284,244.0856
31,f,-1,68.85556,-0.5067259,1.534794,0.7911586,243.347
31,f,-1,69.3,-0.8011925,1.566595,0.6136419,245.0552
31,f,-1,69.74445,-1.124588,1.588503,0.494611,243.7947
31,f,-1,70.18889,-1.414711,1.596207,0.3335534,241.1393
31,f,0,94.8,0.09347862,1.528766,-0.2062729,14.29966
31,f,0,95.24445,0.09805936,1.549133,-0.1989569,10.35213
31,f,0,95.68889,0.1008329,1.582208,-0.2031363,19.15121
31,f,0,96.13334,0.0886887,1.566599,-0.1754637,6.80304
31,f,0,96.57778,0.06598632,1.585781,-0.1789917,351.9907
31,f,0,97.02222,0.06697781,1.58503,-0.1889284,356.1328
31,f,0,97.46667,0.07664877,1.569636,-0.2239076,357.5852
31,f,0,97.91111,0.08550216,1.562402,-0.2357672,357.4785
31,f,0,98.35556,0.09090459,1.573758,-0.2234388,358.0467
31,f,0,98.8,0.08094735,1.557942,-0.1552319,357.6243
31,f,0,99.24445,0.06894715,1.551596,-0.1277477,358.5708
31,f,0,99.68889,0.06300242,1.564921,-0.1628707,355.4589
31,f,0,100.1333,0.070353,1.565098,-0.1900534,358.4137
31,f,0,100.5778,0.08762358,1.575446,-0.2092542,1.22323
31,f,0,101.0222,0.08552843,1.580328,-0.1984964,356.2144
31,f,0,101.4667,0.05475126,1.580547,-0.1904071,345.5653
31,f,0,101.9111,0.07158494,1.58565,-0.1903206,352.9081
31,f,0,102.3556,0.07899847,1.584036,-0.2002213,354.537
31,f,0,102.8,0.08770309,1.573388,-0.207737,355.0562
31,f,0,103.2444,0.09880957,1.560138,-0.1785358,355.7893
31,f,0,103.6889,0.06157044,1.549335,0.005749984,354.8686
31,f,0,104.1333,-0.02629793,1.581887,0.2695574,354.2855
31,f,0,104.5778,-0.03032454,1.589362,0.5057313,352.3451
31,f,0,105.0222,-0.04498373,1.605966,0.6433847,3.746853
31,f,0,105.4667,-0.06829518,1.609854,0.6762107,7.759014
31,f,0,105.9111,-0.07770938,1.608458,0.6712638,5.480747
31,f,0,106.3556,-0.08869085,1.606011,0.6683265,348.7122
31,f,0,106.8,-0.06918922,1.60453,0.6686457,350.7442
31,f,0,107.2444,-0.04198974,1.604163,0.6578991,2.700038
31,f,0,107.6889,-0.04341195,1.601119,0.6668655,349.7241
31,f,0,108.1333,-0.03038913,1.599404,0.6793935,3.291279
31,f,0,108.5778,-0.04682962,1.597352,0.6812993,346.0735
31,f,0,109.0222,-0.03459692,1.597366,0.684028,357.2342
31,f,0,109.4667,-0.04645564,1.602215,0.6821177,351.2358
31,f,0,109.9111,-0.04875132,1.602389,0.676342,353.6662
31,f,0,110.3556,-0.03455345,1.601151,0.6773284,3.617536
31,f,0,110.8,-0.0400742,1.600791,0.6750565,359.5353
31,f,0,111.2444,-0.04484721,1.600101,0.6736534,357.3179
31,f,0,111.6889,-0.04210482,1.599089,0.6727877,358.8885
31,f,0,112.1333,-0.0375693,1.598275,0.6677459,359.6138
31,f,0,112.5778,-0.04447565,1.594176,0.676496,353.724
31,f,0,113.0222,-0.04041778,1.589961,0.6953989,356.4046
31,f,0,113.4667,-0.03290055,1.590207,0.702875,359.6469
31,f,0,113.9111,-0.02825585,1.590253,0.7104118,1.05554
31,f,0,114.3556,-0.03927814,1.591524,0.7092704,354.8714
31,f,0,114.8,-0.04940841,1.583406,0.7152789,352.0118
31,f,0,115.2444,-0.04781378,1.575433,0.7229538,352.9553
31,f,0,115.6889,-0.04570971,1.575606,0.7236634,353.28
31,f,0,116.1333,-0.03524952,1.576796,0.7177266,355.8079
31,f,0,116.5778,-0.03138376,1.578818,0.7109056,355.2516
31,f,0,117.0222,-0.03537275,1.584225,0.7017692,352.2753
31,f,0,117.4667,-0.03628439,1.582623,0.7026749,353.6057
31,f,0,117.9111,-0.03602929,1.57944,0.7000835,354.233
31,f,0,118.3556,-0.03870894,1.576299,0.6902357,352.55
31,f,0,118.8,-0.03299108,1.580393,0.6794907,355.7301
31,f,0,119.2444,-0.03112728,1.581768,0.6616406,354.9547
31,f,0,119.6889,-0.0357184,1.56952,0.6554357,351.619
31,f,0,120.1333,-0.04062372,1.551358,0.7227508,354.8366
31,f,0,120.5778,-0.03515297,1.544517,0.7853956,1.40523
31,f,0,121.0222,-0.03333517,1.544314,0.7983559,0.7418983
31,f,0,121.4667,-0.02828484,1.54678,0.7934008,2.11011
31,f,0,121.9111,-0.02853812,1.549287,0.7842385,1.920137
31,f,0,122.3556,-0.03359951,1.550264,0.7788219,0.2363089
31,f,0,122.8,-0.04890501,1.550161,0.7785481,354.4087
31,f,0,123.2444,-0.05912428,1.553931,0.7740722,349.8719
31,f,0,123.6889,-0.05096393,1.557542,0.7707231,352.4224
31,f,0,124.1333,-0.03300783,1.56434,0.7493713,2.007921
31,f,0,124.5778,-0.02161587,1.572745,0.7050799,7.584031
31,f,0,125.0222,-0.02942583,1.553859,0.6966661,8.479875
31,f,0,125.4667,-0.04068235,1.550896,0.6922176,2.265417
31,f,0,125.9111,-0.04856282,1.584768,0.6716938,2.447773
31,f,0,126.3556,-0.04766552,1.590344,0.6900339,3.809888
31,f,0,126.8,-0.05581112,1.573044,0.7290246,1.629193
31,f,0,127.2444,-0.08009854,1.543586,0.8212264,359.6829
31,f,0,127.6889,-0.07711538,1.526504,0.8552198,4.844522
31,f,0,128.1333,-0.085585,1.526016,0.8475376,358.0575
31,f,0,128.5778,-0.08484778,1.523797,0.834956,356.9877
31,f,0,129.0222,-0.07370886,1.522183,0.8386007,359.2088
31,f,0,129.4667,-0.07206494,1.518813,0.8356565,359.9745
31,f,0,129.9111,-0.08926131,1.519159,0.8250291,352.7504
31,f,0,130.3556,-0.08614562,1.518479,0.8258827,353.2198
31,f,0,130.8,-0.07915212,1.519384,0.8254101,354.9457
31,f,0,131.2444,-0.07187974,1.520148,0.8218647,356.9368
31,f,0,131.6889,-0.07173798,1.519215,0.8235926,355.0966
31,f,0,132.1333,-0.06893425,1.517372,0.8236737,354.8273
31,f,0,132.5778,-0.06553881,1.524302,0.8093593,354.7313
31,f,0,133.0222,-0.05833314,1.531339,0.796528,356.7089
31,f,0,133.4667,-0.06051502,1.5343,0.7948279,355.0859
31,f,0,133.9111,-0.05875082,1.536045,0.792542,355.776
31,f,0,134.3556,-0.05284546,1.543137,0.7702956,357.4922
31,f,0,134.8,-0.0460281,1.554387,0.7142179,358.4901
31,f,0,135.2444,-0.04982879,1.555844,0.6784067,354.8296
31,f,0,135.6889,-0.04082708,1.558357,0.6708465,358.6754
31,f,0,136.1333,-0.03769656,1.558388,0.6611321,359.9512
31,f,0,136.5778,-0.03495203,1.559245,0.6555767,359.7357
31,f,0,137.0222,-0.04056173,1.557749,0.6581653,352.7441
31,f,0,137.4667,-0.03873685,1.552181,0.6599829,351.3467
31,f,0,137.9111,-0.02881335,1.553158,0.6554307,354.045
31,f,0,138.3556,-0.02168842,1.555737,0.6512233,358.1394
31,f,0,138.8,-0.02404349,1.557132,0.6456758,357.1456
31,f,0,139.2444,-0.02877577,1.555158,0.651232,355.7559
31,f,0,139.6889,-0.02354875,1.552337,0.654449,358.1455
31,f,0,140.1333,-0.0196166,1.541344,0.6499977,0.8222413
31,f,0,140.5778,-0.02557396,1.538318,0.6506206,355.8239
31,f,0,141.0222,-0.02493968,1.533531,0.6433619,354.7634
31,f,0,141.4667,-0.02382583,1.532134,0.6295825,355.8503
31,f,0,141.9111,-0.02031377,1.532584,0.6310774,356.5754
31,f,0,142.3556,-0.01731009,1.532871,0.6301796,355.114
31,f,0,142.8,-0.01454775,1.53341,0.637961,355.3516
31,f,0,143.2444,-0.01586828,1.533919,0.6489387,357.8434
31,f,0,143.6889,-0.02611608,1.533157,0.6539864,353.8101
31,f,0,144.1333,-0.02871869,1.533215,0.6511717,353.4789
31,f,0,144.5778,-0.02322581,1.532204,0.6479803,357.345
31,f,0,145.0222,-0.02881113,1.532594,0.6512876,353.2007
31,f,0,145.4667,-0.0371938,1.539839,0.6689495,350.1941
31,f,0,145.9111,-0.02448876,1.549053,0.6788064,357.009
31,f,0,146.3556,-0.02088727,1.542995,0.6753892,358.9465
31,f,0,146.8,-0.015089,1.51588,0.6362048,358.746
31,f,0,147.2444,-0.01651028,1.509557,0.5927899,351.0296
31,f,0,147.6889,-0.01008595,1.502877,0.5979331,352.3932
